10
-------- -----------------------------------------------------------------------------
      mass/length   flap          lag          torsion     flap       lag         cg
                  stiffness      stiffness     stiffnes  rad.of.gyr rad.of.gyr  offset
x/R   m0(kg/m)     EIy (Nm^2)    EIz (Nm^2)    GJ(Nm^2)    yk1(m)    yk2(m)      eg(m)
--------------------------------------------------------------------------------------
0.0000  6.46      60000        60000         30000         0.01      0.076         0.
0.5488  5.814     39366        39366         19683        0.009      0.0684        0.
1.0978  5.168     24576        24576         12288        0.008      0.0608        0.
1.6467  4.522     14406        14406         7203         0.007      0.0532        0.
2.1956  3.876     7776         7776          3888         0.006      0.0456        0.
2.7444  3.23      3750         3750          1875         0.005      0.038         0.
3.2933  2.584     1536         1536          768          0.004      0.0304        0.
3.8422  1.938     486          486           243          0.003      0.0228        0.
4.3911  1.292     96           96            48           0.002      0.0152        0.
4.9400  0.646     6            6             3            0.001      0.0076        0.
